gene_id	Adult_human_cardiomyocytes_Mock_1	Adult_human_cardiomyocytes_Mock_2	Adult_human_cardiomyocytes_Mock_3	Adult_human_cardiomyocytes_SARS-CoV2_1	Adult_human_cardiomyocytes_SARS-CoV2_2	Adult_human_cardiomyocytes_SARS-CoV2_3
ENSG00000000003	1014	841	983	1267	1064	1440
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	1541	1419	1722	1796	1767	2208
ENSG00000000457	602	544	582	756	685	864
ENSG00000000460	128	118	123	238	222	255
ENSG00000000938	4	1	0	3	2	3
ENSG00000000971	19369	16249	19162	20848	17229	21475
ENSG00000001036	7681	6880	7823	6726	6569	7686
ENSG00000001084	765	685	746	726	594	750
ENSG00000001167	1186	1071	1166	1200	1096	1407
ENSG00000001460	231	207	237	269	211	255
ENSG00000001461	1373	1234	1319	1817	1527	1758
ENSG00000001497	1279	1257	1320	1187	1192	1204
ENSG00000001561	768	744	671	555	410	525
ENSG00000001617	124	103	119	66	69	77
ENSG00000001626	2	0	1	0	1	0
ENSG00000001629	6427	5902	6095	4917	4039	5201
ENSG00000001630	97	81	71	72	88	71
ENSG00000001631	2071	1685	1893	1990	1694	1967
ENSG00000002016	359	331	353	474	450	493
ENSG00000002079	5	1	1	4	1	0
ENSG00000002330	755	622	659	911	914	818
ENSG00000002549	6135	5777	6210	6927	6127	7542
ENSG00000002586	26390	24845	26080	26008	25671	29141
ENSG00000002587	7	8	7	1	3	1
ENSG00000002726	0	0	0	0	0	0
ENSG00000002745	2	3	0	0	0	0
ENSG00000002746	0	1	0	2	0	0
ENSG00000002822	473	366	393	362	454	419
ENSG00000002834	16101	14685	15709	16835	16066	17805
ENSG00000002919	855	738	818	998	888	1219
ENSG00000002933	0	0	1	0	1	0
ENSG00000003056	5244	4978	5430	4590	4066	5128
ENSG00000003096	168	140	154	90	70	97
ENSG00000003137	141	111	131	186	184	143
ENSG00000003147	3	3	1	2	2	4
ENSG00000003249	33	42	50	99	104	101
ENSG00000003393	2386	2222	2508	2659	2460	2894
ENSG00000003400	694	573	677	632	583	625
ENSG00000003402	4150	3704	3762	5547	4543	4712
ENSG00000003436	11910	11318	11622	15460	11838	15104
ENSG00000003509	799	669	774	940	763	1006
ENSG00000003756	5604	4898	5149	5925	5154	5885
ENSG00000003987	0	1	0	0	0	0
ENSG00000003989	13	15	17	37	29	39
ENSG00000004059	2106	1897	1954	2192	2274	2238
ENSG00000004139	721	650	701	636	596	699
ENSG00000004142	4854	4360	4764	4650	4372	4971
ENSG00000004399	5286	4866	4981	4621	5067	4624
ENSG00000004455	3686	3592	3758	5432	5597	6120
ENSG00000004468	6	9	5	24	25	23
ENSG00000004478	1756	1759	1909	1882	1785	2204
ENSG00000004487	2636	2380	2656	3050	3071	3597
ENSG00000004534	4144	3556	3981	4458	3895	4562
ENSG00000004660	526	448	513	495	626	455
ENSG00000004700	1972	1702	1897	2708	2465	3027
ENSG00000004766	893	765	931	887	710	929
ENSG00000004776	18437	18433	18052	10847	9983	10203
ENSG00000004777	145	124	120	198	225	114
ENSG00000004779	810	742	866	916	871	1020
ENSG00000004799	33	31	30	27	19	13
ENSG00000004809	3	3	1	0	0	0
ENSG00000004838	7	12	6	19	30	22
ENSG00000004846	492	450	468	70	46	34
ENSG00000004848	1	0	0	0	0	0
ENSG00000004864	782	691	800	822	758	913
ENSG00000004866	1045	935	1027	1001	871	1087
ENSG00000004897	3564	3255	3578	4536	4009	5067
ENSG00000004939	0	2	0	2	0	0
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	1042	1058	1094	1188	1021	1371
ENSG00000004975	1908	1878	1856	1721	1642	1617
ENSG00000005001	0	2	0	1	1	4
ENSG00000005007	2469	2263	2351	2502	2475	2356
ENSG00000005020	581	532	580	526	527	556
ENSG00000005022	6580	5734	6942	8442	7871	9814
ENSG00000005059	744	611	718	937	877	1137
ENSG00000005073	0	0	0	1	2	0
ENSG00000005075	451	442	441	536	509	516
ENSG00000005100	1084	1008	1034	1241	1051	1298
ENSG00000005102	2	3	6	236	258	296
ENSG00000005108	1	4	3	3	2	1
ENSG00000005156	816	849	849	652	664	818
ENSG00000005175	760	636	764	735	664	885
ENSG00000005187	22	25	18	27	30	27
ENSG00000005189	122	103	103	189	211	178
ENSG00000005194	1481	1320	1529	1448	1246	1563
ENSG00000005206	869	767	750	1040	970	863
ENSG00000005238	1816	1866	1644	2478	2618	2700
ENSG00000005243	2475	2202	2360	2809	2596	2902
ENSG00000005249	19	16	27	10	9	18
ENSG00000005302	1051	881	1059	1283	1179	1386
ENSG00000005339	3559	3313	3295	3202	3321	3056
ENSG00000005379	19	18	16	10	3	13
ENSG00000005381	8	7	4	11	6	7
ENSG00000005421	1	0	1	1	1	2
ENSG00000005436	405	333	358	490	348	510
ENSG00000005448	458	401	422	1187	1155	1193
ENSG00000005469	791	664	755	1236	1101	1334
ENSG00000005471	1	0	0	3	0	4
ENSG00000005483	4036	3527	3772	4486	4172	4414
ENSG00000005486	1687	1449	1581	2295	2234	2283
ENSG00000005513	10	12	4	31	31	28
ENSG00000005700	3366	3004	3412	4561	4053	5145
ENSG00000005801	456	432	445	446	383	470
ENSG00000005810	9004	7544	8563	5795	4977	5139
ENSG00000005812	1444	1342	1405	2111	1768	2332
ENSG00000005844	2	4	3	1	3	4
ENSG00000005882	1521	1454	1499	1685	1666	1634
ENSG00000005884	4208	3900	4186	2567	2390	2275
ENSG00000005889	1125	1065	1228	1442	1290	1612
ENSG00000005893	12563	11439	12418	13778	11965	15694
ENSG00000005955	3264	2808	3018	3820	3068	3940
ENSG00000005961	5	15	5	17	13	15
ENSG00000005981	5	1	1	3	1	3
ENSG00000006007	3700	3180	3679	3437	3088	3940
ENSG00000006015	333	280	302	366	376	379
ENSG00000006016	535	475	443	878	1026	1085
ENSG00000006025	306	331	331	424	387	385
ENSG00000006042	3371	3104	3173	3746	3451	4140
ENSG00000006047	2	2	2	4	0	2
ENSG00000006059	0	0	0	2	0	0
ENSG00000006062	441	451	373	479	487	494
ENSG00000006071	0	1	0	0	0	1
ENSG00000006074	1	0	0	0	0	0
ENSG00000006075	0	0	0	1	0	0
ENSG00000006114	2243	1976	2146	2267	2048	2366
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	791	658	600	2342	2741	2389
ENSG00000006125	13844	12340	13705	13441	12275	14689
ENSG00000006128	0	0	1	0	2	0
ENSG00000006194	1518	1396	1591	1618	1309	1521
ENSG00000006210	90	91	85	154	139	96
ENSG00000006282	3002	2689	2627	2840	2776	2795
ENSG00000006283	5	4	4	47	65	60
ENSG00000006327	2470	2363	2435	3236	3784	4512
ENSG00000006377	0	0	0	0	0	0
ENSG00000006432	57	29	45	45	46	56
ENSG00000006451	4579	4409	4732	4155	3806	5518
ENSG00000006453	273	230	259	466	416	462
ENSG00000006459	1463	1362	1279	1555	1294	1512
ENSG00000006468	1157	1058	1097	865	861	942
ENSG00000006530	848	780	765	929	828	993
ENSG00000006534	2135	2024	1941	1947	1883	1678
ENSG00000006555	0	0	1	0	0	0
ENSG00000006576	1461	1301	1418	1697	1469	1967
ENSG00000006606	20	21	21	86	88	99
ENSG00000006607	1396	1244	1295	1231	1149	1200
ENSG00000006611	2	0	0	1	0	0
ENSG00000006625	1198	1134	1228	1272	1274	1628
ENSG00000006634	218	183	229	298	325	373
ENSG00000006638	55	51	26	55	58	40
ENSG00000006652	2653	2488	2779	2505	2232	3191
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	486	496	435	404	375	451
ENSG00000006704	435	406	393	498	520	486
ENSG00000006712	1880	1807	1884	2067	2050	2177
ENSG00000006715	4801	4277	4688	4344	3677	4690
ENSG00000006740	216	213	201	353	282	269
ENSG00000006744	2142	1938	2020	1827	1592	1743
ENSG00000006747	26	23	28	16	13	9
ENSG00000006756	1401	1280	1368	1157	1094	1232
ENSG00000006757	573	567	503	651	567	734
ENSG00000006788	1	0	2	4	0	0
ENSG00000006831	3963	3470	3841	4098	3748	4478
ENSG00000006837	12	13	19	18	21	28
ENSG00000007001	0	1	2	0	1	0
ENSG00000007038	4	14	8	9	16	25
ENSG00000007047	1625	1490	1527	1718	1665	1729
ENSG00000007062	0	0	2	1	1	3
ENSG00000007080	473	385	373	510	634	508
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	6608	5987	6155	7824	6798	8318
ENSG00000007171	1	1	0	3	1	0
ENSG00000007174	2	1	0	2	1	3
ENSG00000007202	16119	14056	16125	16344	15672	18473
ENSG00000007216	0	0	0	1	0	0
ENSG00000007237	773	715	708	1612	1715	1892
ENSG00000007255	290	289	217	264	243	222
ENSG00000007264	3	4	6	4	9	4
ENSG00000007306	1	0	0	0	0	0
ENSG00000007312	1	2	4	5	2	2
ENSG00000007314	0	1	1	0	1	1
ENSG00000007341	643	557	605	567	516	638
ENSG00000007350	0	0	2	0	0	0
ENSG00000007372	2	2	0	2	2	0
ENSG00000007376	245	257	202	207	285	231
ENSG00000007384	2003	1840	1884	2003	2096	1929
ENSG00000007392	1327	1208	1281	1397	1229	1435
ENSG00000007402	5	3	5	9	7	9
ENSG00000007516	3	4	6	11	14	13
ENSG00000007520	671	620	597	700	694	657
ENSG00000007541	517	506	468	544	623	528
ENSG00000007545	477	411	435	501	471	455
ENSG00000007866	1964	1823	1799	2181	2172	2192
ENSG00000007908	0	0	0	5	5	2
ENSG00000007923	2179	2081	2137	2037	1995	2130
ENSG00000007933	97	77	75	59	49	73
ENSG00000007944	364	368	438	365	290	325
ENSG00000007952	1	0	0	0	0	0
ENSG00000007968	8	7	5	69	109	61
ENSG00000008018	5131	4489	5314	6050	5880	7131
ENSG00000008056	52	52	46	117	118	126
ENSG00000008083	765	670	728	1052	934	984
ENSG00000008086	157	118	132	138	141	154
ENSG00000008118	15	13	13	45	40	36
ENSG00000008128	13	18	10	14	11	13
ENSG00000008130	1710	1544	1566	1368	1300	1426
ENSG00000008196	0	0	0	1	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	25	25	21	22	30	30
ENSG00000008256	5063	4733	4990	3965	3787	3876
ENSG00000008277	53	37	29	39	27	47
ENSG00000008282	3724	3564	3730	3510	2805	3958
ENSG00000008283	1412	1215	1385	1649	1697	1738
ENSG00000008294	6980	6378	6813	7218	6449	7900
ENSG00000008300	82	67	82	134	121	133
ENSG00000008311	2067	1900	2012	1638	1221	1409
ENSG00000008323	3	4	1	1	4	2
ENSG00000008324	382	309	358	362	301	416
ENSG00000008382	204	234	225	244	249	262
ENSG00000008394	8491	8054	8673	7913	6716	9151
ENSG00000008405	665	588	649	694	569	715
ENSG00000008438	0	0	0	0	0	0
ENSG00000008441	8323	7962	7624	7949	7677	6952
ENSG00000008513	6536	5895	6299	8213	7475	8187
ENSG00000008516	6	3	2	6	3	8
ENSG00000008517	782	729	650	2823	2745	3075
ENSG00000008710	2650	2451	2166	3395	3648	2739
ENSG00000008735	10	13	6	6	3	1
ENSG00000008838	2082	1992	1940	2012	1988	1883
ENSG00000008853	1786	1720	1702	1116	1033	983
ENSG00000008869	1574	1380	1513	1626	1402	1626
ENSG00000008952	5009	4536	4842	5588	4407	6035
ENSG00000008988	25249	23271	25205	27870	26584	31871
ENSG00000009307	26583	23909	26124	30090	25600	32847
ENSG00000009335	4493	4057	4489	4736	4324	5253
ENSG00000009413	5900	5115	5388	7121	4951	5507
ENSG00000009694	0	0	0	0	0	1
ENSG00000009709	1	0	0	0	0	2
ENSG00000009724	0	0	0	0	1	1
ENSG00000009765	0	1	1	1	1	1
ENSG00000009780	550	436	447	433	403	499
ENSG00000009790	4	1	0	5	1	0
ENSG00000009830	1198	999	1176	1009	1037	1119
ENSG00000009844	1386	1310	1403	1727	1565	2000
ENSG00000009950	43	30	25	8	7	7
ENSG00000009954	6047	5287	6145	6103	5676	6231
ENSG00000010017	2812	2497	2776	2918	2678	3375
ENSG00000010030	104	129	136	189	185	221
ENSG00000010072	326	293	369	350	325	394
ENSG00000010165	1366	1210	1333	1095	1113	1321
ENSG00000010219	494	475	492	659	582	635
ENSG00000010244	5350	4793	4898	6137	5044	6487
ENSG00000010256	3213	2930	3148	4047	4115	4370
ENSG00000010270	1732	1573	1733	2000	1735	2281
ENSG00000010278	6095	5396	5609	8116	7715	8531
ENSG00000010282	3	1	2	0	0	0
ENSG00000010292	2659	2447	2663	3887	3985	3857
ENSG00000010295	2655	2404	2222	1582	1395	1343
ENSG00000010310	21	20	19	70	59	54
ENSG00000010318	180	133	164	173	159	161
ENSG00000010319	3	1	1	2	1	5
ENSG00000010322	3477	3127	3155	4235	4009	3887
ENSG00000010327	15	7	11	14	6	4
ENSG00000010361	298	290	273	405	412	360
ENSG00000010379	2	1	2	1	0	2
ENSG00000010404	2619	2460	2444	3239	2816	3194
ENSG00000010438	70	65	68	152	179	196
ENSG00000010539	404	352	381	391	386	450
ENSG00000010610	79	65	69	78	93	83
ENSG00000010626	273	259	282	315	304	380
ENSG00000010671	0	1	0	0	0	1
ENSG00000010704	1189	1197	1225	1533	1273	1540
ENSG00000010803	1036	886	906	1071	1032	1226
ENSG00000010810	3670	3454	3686	9771	10046	10406
ENSG00000010818	3365	3099	3185	4312	4187	4313
ENSG00000010932	80	60	69	50	14	21
ENSG00000011007	3158	2865	3275	3220	2979	3558
ENSG00000011009	1046	1061	964	1066	1128	1113
ENSG00000011021	2584	2285	2360	1882	1657	1731
ENSG00000011028	12514	11740	11435	21281	23996	22377
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	2	1	0	0	0
ENSG00000011105	3609	3362	3372	2384	2302	2407
ENSG00000011114	2321	1870	2127	2162	1893	2220
ENSG00000011132	225	222	188	298	272	292
ENSG00000011143	432	358	403	450	467	443
ENSG00000011198	1333	1210	1337	1183	1128	1406
ENSG00000011201	661	597	649	899	814	988
ENSG00000011243	1561	1387	1391	1691	1499	1607
ENSG00000011258	587	637	583	1004	781	990
ENSG00000011260	1154	1057	1194	913	864	1037
ENSG00000011275	2586	2391	2524	2806	2867	2918
ENSG00000011295	1302	1142	1233	1356	1233	1468
ENSG00000011304	4393	4089	4250	5524	5844	5823
ENSG00000011332	11	12	18	18	24	17
ENSG00000011347	552	520	485	950	1165	1074
ENSG00000011376	1104	951	1130	880	907	948
ENSG00000011405	4576	4030	4483	4086	3109	4029
ENSG00000011422	1948	1870	1932	3076	3223	3486
ENSG00000011426	503	431	473	1963	2180	1769
ENSG00000011451	1612	1557	1454	1699	1834	1619
ENSG00000011454	3517	3053	3384	3361	3141	3429
ENSG00000011465	69236	62806	64931	85857	73052	89974
ENSG00000011478	627	584	571	699	779	721
ENSG00000011485	2165	1947	2168	2023	1984	2025
ENSG00000011523	687	638	621	815	785	803
ENSG00000011566	1405	1348	1510	2945	2728	3679
ENSG00000011590	1	0	0	0	0	0
ENSG00000011600	0	0	0	1	0	0
ENSG00000011638	1642	1555	1712	1500	1248	1555
ENSG00000011677	0	0	0	0	0	0
ENSG00000012048	196	165	208	426	558	443
ENSG00000012061	2815	2683	2606	3653	3692	3826
ENSG00000012124	8	6	7	0	5	4
ENSG00000012171	309	231	264	350	313	274
ENSG00000012174	1629	1474	1575	1846	1647	2094
ENSG00000012211	301	309	294	300	314	280
ENSG00000012223	0	0	1	5	0	0
ENSG00000012232	2538	2307	2334	1771	1694	1830
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	5370	5128	5370	6311	5538	7930
ENSG00000012779	0	1	0	0	0	0
ENSG00000012817	2697	2270	2465	3036	2608	2731
ENSG00000012822	10819	9849	9597	13436	11414	11848
